player_name,BR Damage_Alter,BR Damage_Ash,BR Damage_Ballistic,BR Damage_Bangalore,BR Damage_Bloodhound,BR Damage_Catalyst,BR Damage_Caustic,BR Damage_Conduit,BR Damage_Crypto,BR Damage_Fuse,BR Damage_Gibraltar,BR Damage_Horizon,BR Damage_Lifeline,BR Damage_Loba,BR Damage_Mad Maggie,BR Damage_Mirage,BR Damage_Newcastle,BR Damage_Octane,BR Damage_Pathfinder,BR Damage_Rampart,BR Damage_Revenant,BR Damage_Seer,BR Damage_Valkyrie,BR Damage_Vantage,BR Damage_Wattson,BR Damage_Wraith,BR Kills_Alter,BR Kills_Ash,BR Kills_Ballistic,BR Kills_Bangalore,BR Kills_Bloodhound,BR Kills_Catalyst,BR Kills_Caustic,BR Kills_Conduit,BR Kills_Crypto,BR Kills_Fuse,BR Kills_Gibraltar,BR Kills_Horizon,BR Kills_Lifeline,BR Kills_Loba,BR Kills_Mad Maggie,BR Kills_Mirage,BR Kills_Newcastle,BR Kills_Octane,BR Kills_Pathfinder,BR Kills_Rampart,BR Kills_Revenant,BR Kills_Seer,BR Kills_Valkyrie,BR Kills_Vantage,BR Kills_Wattson,BR Kills_Wraith,BR Wins_Alter,BR Wins_Ash,BR Wins_Ballistic,BR Wins_Bangalore,BR Wins_Bloodhound,BR Wins_Catalyst,BR Wins_Caustic,BR Wins_Conduit,BR Wins_Crypto,BR Wins_Fuse,BR Wins_Gibraltar,BR Wins_Horizon,BR Wins_Lifeline,BR Wins_Loba,BR Wins_Mad Maggie,BR Wins_Mirage,BR Wins_Newcastle,BR Wins_Octane,BR Wins_Pathfinder,BR Wins_Rampart,BR Wins_Revenant,BR Wins_Seer,BR Wins_Valkyrie,BR Wins_Vantage,BR Wins_Wattson,BR Wins_Wraith
AQUA peeks,0.0,0.0,0.0,0.0,237714.0,24496132.0,0.0,0.0,0.0,0.0,103147.0,0.0,671227.0,162578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788001.0,0.0,60.0,0.0,0.0,689.0,99981.0,0.0,0.0,0.0,0.0,280.0,850.0,2629.0,506.0,0.0,15.0,10.0,0.0,443.0,61.0,0.0,0.0,0.0,0.0,0.0,4825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQUAS_SPIRIT,0.0,0.0,0.0,485708.0,2510571.0,0.0,0.0,0.0,126680.0,98377.0,456336.0,1626420.0,474260.0,0.0,125523.0,0.0,0.0,1945006.0,796856.0,0.0,391208.0,686148.0,715191.0,0.0,0.0,13467855.0,0.0,674.0,0.0,1527.0,8713.0,0.0,457.0,0.0,374.0,321.0,1384.0,5414.0,1528.0,161.0,421.0,557.0,7597.0,6623.0,2712.0,25.0,1068.0,2416.0,2288.0,0.0,0.0,45015.0,0.0,0.0,0.0,93.0,704.0,0.0,0.0,0.0,0.0,27.0,80.0,488.0,110.0,0.0,30.0,0.0,0.0,512.0,191.0,0.0,0.0,217.0,178.0,0.0,0.0,4192.0
ARN Staan,0.0,173839.0,0.0,12302378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1184810.0,0.0,0.0,0.0,0.0,0.0,195277.0,5011271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.0,0.0,42359.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,3500.0,0.0,279.0,0.0,0.0,0.0,0.0,19073.0,0.0,173.0,0.0,0.0,0.0,0.0,1968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARODR1_TTG,0.0,0.0,0.0,2361641.0,0.0,0.0,0.0,0.0,0.0,0.0,742319.0,9962598.0,455185.0,0.0,0.0,0.0,0.0,0.0,18803748.0,0.0,0.0,0.0,0.0,0.0,0.0,2346327.0,0.0,0.0,0.0,8721.0,1774.0,0.0,0.0,0.0,0.0,0.0,2307.0,39399.0,1733.0,0.0,0.0,0.0,0.0,2767.0,70099.0,0.0,0.0,0.0,0.0,1261.0,0.0,8497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUSTINN TTV,0.0,0.0,0.0,2820467.0,169736.0,0.0,86555.0,0.0,25037.0,0.0,0.0,1468941.0,332585.0,172984.0,34175.0,258606.0,0.0,711845.0,1605122.0,0.0,0.0,12961.0,1453137.0,461605.0,0.0,7580089.0,0.0,0.0,0.0,10031.0,519.0,0.0,263.0,36.0,63.0,0.0,0.0,5043.0,138.0,73.0,124.0,919.0,0.0,2291.0,5526.0,0.0,0.0,28.0,4921.0,1526.0,0.0,26272.0,0.0,0.0,0.0,553.0,37.0,0.0,13.0,0.0,2.0,0.0,0.0,275.0,100.0,5.0,12.0,50.0,0.0,124.0,259.0,0.0,0.0,2.0,286.0,98.0,0.0,1476.0
AWESOME4SUMM,0.0,0.0,0.0,25702765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648164.0,0.0,0.0,0.0,91.0,0.0,92728.0,1051.0,0.0,0.0,0.0,499.0,98.0,0.0,0.0,0.0,842.0,0.0,219.0,0.0,0.0,0.0,0.0,0.0,37.0,280.0,1735.0,293.0,0.0,0.0,0.0,0.0,5377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
AalkyTV,0.0,79555.0,0.0,358640.0,542395.0,60365.0,667354.0,435382.0,2706627.0,0.0,569565.0,856678.0,2011702.0,104284.0,155036.0,228676.0,0.0,656174.0,445153.0,170103.0,1118497.0,606113.0,268835.0,119775.0,245432.0,2174524.0,0.0,283.0,0.0,1288.0,1858.0,199.0,2384.0,1479.0,9111.0,0.0,1997.0,2982.0,7193.0,6195.0,530.0,864.0,1000.0,2427.0,1621.0,582.0,2560.0,2307.0,921.0,407.0,795.0,7819.0,0.0,22.0,0.0,74.0,0.0,0.0,0.0,0.0,1080.0,0.0,134.0,208.0,473.0,786.0,31.0,40.0,0.0,122.0,0.0,0.0,0.0,0.0,65.0,31.0,0.0,0.0
Abisx,0.0,0.0,0.0,1029651.0,564179.0,0.0,0.0,0.0,0.0,0.0,1402167.0,0.0,9481628.0,0.0,0.0,0.0,0.0,3740359.0,3605700.0,0.0,536816.0,199749.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,3076.0,1726.0,0.0,801.0,0.0,0.0,36.0,3800.0,3800.0,33937.0,626.0,0.0,393.0,0.0,14324.0,12327.0,41.0,1528.0,134.0,834.0,0.0,261.0,1397.0,0.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,458.0,0.0,2712.0,0.0,0.0,0.0,0.0,1093.0,1093.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0
Above Faded,0.0,0.0,0.0,0.0,1175198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215790.0,0.0,0.0,0.0,16850472.0,0.0,0.0,254.0,1610.0,3046.0,0.0,0.0,0.0,0.0,0.0,0.0,2717.0,0.0,1209.0,0.0,0.0,0.0,0.0,298.0,0.0,133.0,451.0,0.0,0.0,178.0,51340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1537.0
Above Times,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1722736.0,0.0,1721020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14265292.0,855076.0,0.0,8012354.0,0.0,0.0,0.0,1152.0,0.0,0.0,696.0,0.0,0.0,0.0,0.0,5850.0,0.0,4400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49225.0,2329.0,0.0,30123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0,0.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4309.0,0.0,0.0,0.0
