player_name,career_kills,career_wins,career_revives,legend,BR Kills,BR Damage,BR Wins
imVashy,226681,12725,25544,Mirage,95,0,0
imVashy,226681,12725,25544,Rampart,78,0,0
imVashy,226681,12725,25544,Valkyrie,0,0,0
imVashy,226681,12725,25544,Seer,29,0,0
imVashy,226681,12725,25544,Ash,0,0,0
imVashy,226681,12725,25544,Mad Maggie,0,0,0
imVashy,226681,12725,25544,Newcastle,0,0,0
imVashy,226681,12725,25544,Vantage,0,0,0
imVashy,226681,12725,25544,Catalyst,0,0,0
imVashy,226681,12725,25544,Ballistic,0,0,0
imVashy,226681,12725,25544,Conduit,0,0,0
imVashy,226681,12725,25544,Alter,0,0,0
Star-WayZ-,221532,0,0,Global,0,0,0
Star-WayZ-,221532,0,0,Revenant,0,0,0
Star-WayZ-,221532,0,0,Crypto,0,0,0
Star-WayZ-,221532,0,0,Horizon,0,0,0
Star-WayZ-,221532,0,0,Gibraltar,0,0,0
Star-WayZ-,221532,0,0,Wattson,0,0,0
Star-WayZ-,221532,0,0,Fuse,0,0,0
Star-WayZ-,221532,0,0,Bangalore,8724,2325554,653
Star-WayZ-,221532,0,0,Wraith,0,0,0
Star-WayZ-,221532,0,0,Octane,0,0,0
Star-WayZ-,221532,0,0,Bloodhound,0,0,0
Star-WayZ-,221532,0,0,Caustic,0,0,0
Star-WayZ-,221532,0,0,Lifeline,0,0,0
Star-WayZ-,221532,0,0,Pathfinder,0,0,0
Star-WayZ-,221532,0,0,Loba,155955,42413679,12458
Star-WayZ-,221532,0,0,Mirage,0,0,0
Star-WayZ-,221532,0,0,Rampart,0,0,0
Star-WayZ-,221532,0,0,Valkyrie,584,139682,48
Star-WayZ-,221532,0,0,Seer,0,0,0
Star-WayZ-,221532,0,0,Ash,0,0,0
Star-WayZ-,221532,0,0,Mad Maggie,0,0,0
Star-WayZ-,221532,0,0,Newcastle,0,0,0
Star-WayZ-,221532,0,0,Vantage,0,0,0
Star-WayZ-,221532,0,0,Catalyst,0,0,0
Star-WayZ-,221532,0,0,Ballistic,0,0,0
Star-WayZ-,221532,0,0,Conduit,0,0,0
Star-WayZ-,221532,0,0,Alter,0,0,0
TtvTitanStar01___,217213,12768,30608,Global,0,0,0
TtvTitanStar01___,217213,12768,30608,Revenant,14,0,0
TtvTitanStar01___,217213,12768,30608,Crypto,0,0,0
TtvTitanStar01___,217213,12768,30608,Horizon,17,0,0
TtvTitanStar01___,217213,12768,30608,Gibraltar,277,0,0
TtvTitanStar01___,217213,12768,30608,Wattson,0,0,0
TtvTitanStar01___,217213,12768,30608,Fuse,0,0,0
TtvTitanStar01___,217213,12768,30608,Bangalore,1803,514209,114
TtvTitanStar01___,217213,12768,30608,Wraith,1102,294929,0
TtvTitanStar01___,217213,12768,30608,Octane,116,0,0
TtvTitanStar01___,217213,12768,30608,Bloodhound,82,22409,0
TtvTitanStar01___,217213,12768,30608,Caustic,31,8019,0
TtvTitanStar01___,217213,12768,30608,Lifeline,216351,50431643,12580
TtvTitanStar01___,217213,12768,30608,Pathfinder,0,0,0
TtvTitanStar01___,217213,12768,30608,Loba,2350,509568,0
TtvTitanStar01___,217213,12768,30608,Mirage,0,0,0
TtvTitanStar01___,217213,12768,30608,Rampart,0,0,0
TtvTitanStar01___,217213,12768,30608,Valkyrie,0,0,0
TtvTitanStar01___,217213,12768,30608,Seer,0,0,0
TtvTitanStar01___,217213,12768,30608,Ash,0,0,0
TtvTitanStar01___,217213,12768,30608,Mad Maggie,9,0,0
TtvTitanStar01___,217213,12768,30608,Newcastle,0,0,0
TtvTitanStar01___,217213,12768,30608,Vantage,0,0,0
TtvTitanStar01___,217213,12768,30608,Catalyst,0,0,0
TtvTitanStar01___,217213,12768,30608,Ballistic,0,0,0
TtvTitanStar01___,217213,12768,30608,Conduit,0,0,0
TtvTitanStar01___,217213,12768,30608,Alter,0,0,0
zaeezyy,213352,0,0,Global,0,0,0
zaeezyy,213352,0,0,Revenant,0,0,0
zaeezyy,213352,0,0,Crypto,0,0,0
zaeezyy,213352,0,0,Horizon,154091,36885778,0
zaeezyy,213352,0,0,Gibraltar,0,0,0
zaeezyy,213352,0,0,Wattson,0,0,0
zaeezyy,213352,0,0,Fuse,0,0,0
zaeezyy,213352,0,0,Bangalore,31889,7805080,0
zaeezyy,213352,0,0,Wraith,6093,1544599,0
zaeezyy,213352,0,0,Octane,0,0,0
zaeezyy,213352,0,0,Bloodhound,0,0,0
zaeezyy,213352,0,0,Caustic,0,0,0
zaeezyy,213352,0,0,Lifeline,0,0,0
zaeezyy,213352,0,0,Pathfinder,5610,1389518,0
zaeezyy,213352,0,0,Loba,0,0,0
zaeezyy,213352,0,0,Mirage,0,0,0
zaeezyy,213352,0,0,Rampart,0,0,0
zaeezyy,213352,0,0,Valkyrie,0,0,0
zaeezyy,213352,0,0,Seer,0,0,0
zaeezyy,213352,0,0,Ash,0,0,0
zaeezyy,213352,0,0,Mad Maggie,0,0,0
zaeezyy,213352,0,0,Newcastle,0,0,0
zaeezyy,213352,0,0,Vantage,0,0,0
zaeezyy,213352,0,0,Catalyst,11100,2670955,0
zaeezyy,213352,0,0,Ballistic,0,0,0
zaeezyy,213352,0,0,Conduit,0,0,0
zaeezyy,213352,0,0,Alter,0,0,0
RezMeNoVa,211035,14119,51969,Global,0,0,0
RezMeNoVa,211035,14119,51969,Revenant,0,0,0
RezMeNoVa,211035,14119,51969,Crypto,0,0,0
RezMeNoVa,211035,14119,51969,Horizon,1128,306258,46
RezMeNoVa,211035,14119,51969,Gibraltar,206,63458,8
RezMeNoVa,211035,14119,51969,Wattson,194,55527,14
RezMeNoVa,211035,14119,51969,Fuse,0,0,0
RezMeNoVa,211035,14119,51969,Bangalore,268,77926,13
RezMeNoVa,211035,14119,51969,Wraith,235,67327,6
RezMeNoVa,211035,14119,51969,Octane,1170,362848,60
RezMeNoVa,211035,14119,51969,Bloodhound,430,136632,22
RezMeNoVa,211035,14119,51969,Caustic,384,115736,20
RezMeNoVa,211035,14119,51969,Lifeline,202054,50909216,13755
RezMeNoVa,211035,14119,51969,Pathfinder,0,0,0
RezMeNoVa,211035,14119,51969,Loba,0,0,0
RezMeNoVa,211035,14119,51969,Mirage,1389,367480,75
RezMeNoVa,211035,14119,51969,Rampart,49,17680,1
RezMeNoVa,211035,14119,51969,Valkyrie,0,0,0
RezMeNoVa,211035,14119,51969,Seer,0,0,0
RezMeNoVa,211035,14119,51969,Ash,161,42171,0
RezMeNoVa,211035,14119,51969,Mad Maggie,10,0,0
RezMeNoVa,211035,14119,51969,Newcastle,67,0,0
RezMeNoVa,211035,14119,51969,Vantage,0,0,0
RezMeNoVa,211035,14119,51969,Catalyst,13,0,0
RezMeNoVa,211035,14119,51969,Ballistic,22,0,0
