player_name,career_kills,career_wins,career_revives
mvttbvrnesTTV,150982,7016,16351
xMiru__,150887,9709,9475
SlumpGodLLJ,150125,8247,26650
AbyssionHanmaTTV,149355,10632,0
Mangohabanero__,149260,11065,22899
CocaColx-,148945,0,0
hxnvzxnvdzg,148662,0,0
BAKUGEKINISHIDA,148777,8012,14565
CayThueBuaSoApex,147453,3753,17422
Unknown name :(,0,0,0
ARODR1_TTG,147097,0,0
vKvaq,146396,11146,14001
MED_MohammadTTV,146256,0,0
BIeeds,145778,9573,20835
xSnuff,146193,0,0
iScxrTTV,145564,6894,0
Kherss_,145222,0,14992
Xikor_,144909,0,0
KXMIKAZl,144850,8430,18212
MAGICALRENA,144666,0,0
Babby-Aiko,144581,0,23948
DubbziWubbziTV,143962,8560,26242
nono_chan_,145097,0,0
starker_rock,143558,6818,0
GENNXU,142145,0,17723
DS_Insanity_TV,142200,0,0
Sniftyy,141780,0,0
GrumpySquirrelTV,141707,7446,14611
Denxiety,141573,9845,20232
Apertures,139799,0,0
Herii,139447,0,0
H0LL1EBabyy,140472,8666,0
Blessed,0,0,0
itzzLokiii,138681,0,0
mills6167,138585,9505,0
MUVMENT-,138071,0,0
CheekyClassic,137829,0,0
SoggieWaffl3s_FB,137421,14647,29782
HufflePuffTV,137248,7085,26776
QueenNiccTV,137047,0,16988
Aurelius77777,137041,10487,0
kirazzz,136429,8035,12715
qDevs-,136319,0,0
STiM4THEWiN,136028,10073,0
SolidDoxis,135771,10108,0
Mewrtin,145393,0,0
Mirage-God,135390,8942,14200
vUniqueTV,135090,5612,13253
DxddyDecoy,135074,9434,27105
MerlynFooX,136524,0,0
omaedakeyade,134773,0,0
momotq_-,134621,0,0
IceeeTTV,134602,10029,27642
EXPFPX,133245,11235,13751
Staffi,133159,10348,14717
Yousif,0,0,0
Billy Butcher,132714,0,0
IphxsezGxming-NZ,132371,6145,0
daREALomo,132258,8691,0
yuu,0,0,0
Zeuuss-EU,131957,0,0
SandMan_045,131180,0,0
Velkliq,131086,0,0
Dxcimxtion-,130940,0,0
zMuulaa,130655,0,0
zBestPro_-,130612,11211,29371
JakeTrox,131006,8132,0
silvertungeDK,130522,0,0
FTA_xCanelo-Ttv,130877,0,0
ll1bra_,130339,9124,13882
A POLO G,130260,10124,16720
ClayClayTV,130200,6882,15684
EnhanceYo|Twitch,129931,0,0
DzBANGER,129697,0,0
NqX-GAS-MAX,129558,8535,0
rrHERO,129917,7550,16825
Yt / @TheManVita,129972,0,0
Sakutorii-,129285,0,0
LamboSlaysYT,129084,9267,0
Bloodwars2003,129019,8325,27387
SingJai03_twitch,130386,6645,11303
llLinso,128678,0,0
vKrisse,128601,0,0
EroGameMaster,128093,0,0
BE_ULTRA_,128079,16384,0
yannifrl,128036,5817,13759
yEccho,127399,0,0
qpainnTV,127279,13425,0
HAWKTUAHGAWKGAWK,127137,4996,10904
oG-Krytus,127081,6698,16472
VoL,127040,8116,13456
Cheo,126968,0,0
NotSemola_,126874,14629,0
ESPERANZA_3104,127746,0,31669
BuddyGotDropped,126418,9805,0
EstelleAir,125820,0,0
Resrect,125708,0,0
LATiiFloW,125694,0,0
JasonMullenix,125513,0,0
Cxllyx,125186,0,15010
Menger420 | Twitch,125067,8695,12939
DosukoiZamural,124576,14683,10644
HAN_AN_,127803,0,0
iDirn,124098,0,0
Mqxlen,124083,0,0
Lord-_-HovbergDK,123978,8725,13722
VzGold_,123786,0,0
xItzLazzy,123374,0,0
iWrexy,122960,9453,16483
HaileyWRLD,122818,0,36069
Regret_Vector,122746,0,0
hunter22pro,122519,6959,0
LUSAB-1894,122195,5479,14805
iLuvKd_,122019,0,0
Midnight-Organic,121847,0,0
xShane_TV,121659,8516,16647
O---P--l,121573,0,0
konvyk,121086,0,16661
Lqsuq,121017,6254,16200
vHeady_,120894,10142,14212
iSyquee,120790,8071,0
Lion10x_,120418,0,0
z-meir,120387,0,0
D34DAscensionTTV,120119,0,0
TwitchNamelessTX,120100,7337,11842
MrKoujiCookingCH,119903,0,0
X-MUG-Z,120704,0,0
Blaziann-,120331,0,16728
DrxpLxveOnTwitch,119782,5585,9705
Foxa-mouille_,119706,0,0
StrawHatSosa_,119287,5902,19414
